epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.40979,2.80053,14.1494,3.64715,0.83346,1,0.995,0.597,1.52073,2.08512,2.45034,0,0,0
2,3.47517,2.51085,15.1491,3.13459,0.47586,1,0.995,0.597,1.54173,2.28885,2.51125,1.9604e-05,1.9604e-05,1.9604e-05
3,5.07016,2.33067,4.75254,1.89883,0.44536,1,0.4975,0.24875,1.41359,2.85823,2.50641,3.8416e-05,3.8416e-05,3.8416e-05
4,6.32158,1.85044,4.30834,1.56022,0.01462,1,0.24875,0.14925,1.34275,4.00575,2.47157,5.6436e-05,5.6436e-05,5.6436e-05
5,7.5142,2.85079,3.08727,2.21455,0.00333,1,0.03431,0.02059,1.34905,5.59641,2.45434,7.3664e-05,7.3664e-05,7.3664e-05
6,8.72943,2.70874,4.06545,2.08854,0.00333,1,0.00575,0.00345,1.36673,6.45605,2.45323,9.01e-05,9.01e-05,9.01e-05
7,9.91925,2.03258,2.07383,1.68859,0.00333,1,0.00336,0.00101,1.37614,6.77764,2.45369,0.000105744,0.000105744,0.000105744
8,11.1839,2.81754,8.4728,3.09241,0.00333,1,0.00663,0.00359,1.32493,5.72824,2.41318,0.000120596,0.000120596,0.000120596
9,12.3811,2.39977,3.42249,1.96869,0.00333,1,0.01382,0.00776,1.21714,4.89011,2.3833,0.000134656,0.000134656,0.000134656
10,13.6212,1.69856,2.68382,1.72467,0.00333,1,0.0995,0.05191,1.19536,4.53459,2.37689,0.000147924,0.000147924,0.000147924
11,14.842,1.96977,6.38128,1.63972,0.28672,0.86016,0.33167,0.17578,1.2438,3.64437,2.38127,0.0001604,0.0001604,0.0001604
12,16.0389,2.40705,3.59575,2.09974,0.29096,1,0.33167,0.18242,1.21622,3.05318,2.56033,0.000172084,0.000172084,0.000172084
13,17.27,2.51707,3.75189,2.28207,0.23507,1,0.33167,0.199,1.18105,2.96371,2.57105,0.000182976,0.000182976,0.000182976
14,18.55,1.30268,3.42572,1.92509,0.47576,1,0.4975,0.2985,1.16552,2.93071,2.33952,0.000193076,0.000193076,0.000193076
15,19.7715,1.88797,2.05608,1.66217,0.46113,1,0.4975,0.27363,1.10598,3.10952,2.27443,0.000202384,0.000202384,0.000202384
16,20.9142,1.91692,2.52471,1.65221,0.45485,1,0.4975,0.27086,1.04457,3.72658,2.1788,0.0002109,0.0002109,0.0002109
17,23.7453,1.27608,3.17376,1.43274,0.42065,1,0.4975,0.30845,0.99025,3.84162,2.29727,0.000218624,0.000218624,0.000218624
18,26.024,1.77841,4.71201,1.69799,0.42065,1,0.4975,0.30845,0.99025,3.84162,2.29727,0.000225556,0.000225556,0.000225556
19,27.3768,1.55828,3.15844,1.68944,0.3091,1,0.33167,0.199,1.10368,3.30541,2.3263,0.000231696,0.000231696,0.000231696
20,29.268,0.97436,2.46992,1.31192,0.3091,1,0.33167,0.199,1.10368,3.30541,2.3263,0.000237044,0.000237044,0.000237044
21,31.7283,1.4989,3.85833,1.68426,0.70488,1,0.995,0.41458,1.03205,3.31388,2.29703,0.0002416,0.0002416,0.0002416
22,33.1225,0.82913,2.8277,1.23797,0.70488,1,0.995,0.41458,1.03205,3.31388,2.29703,0.000245364,0.000245364,0.000245364
23,35.4579,1.5811,2.70585,1.46757,0.69804,1,0.995,0.34825,0.92745,3.73975,2.37938,0.000248336,0.000248336,0.000248336
24,37.592,1.1649,2.34543,1.50318,0.69804,1,0.995,0.34825,0.92745,3.73975,2.37938,0.000250516,0.000250516,0.000250516
25,39.0143,2.08525,2.62306,1.90877,0.44124,1,0.995,0.3184,1.06213,3.36846,2.34457,0.000251904,0.000251904,0.000251904
26,40.5388,1.40734,2.33333,1.58233,0.44124,1,0.995,0.3184,1.06213,3.36846,2.34457,0.0002525,0.0002525,0.0002525
27,42.8161,1.28924,3.03622,1.80402,0.01454,1,0.06633,0.03824,1.28887,3.84487,2.38852,0.000252304,0.000252304,0.000252304
28,44.3894,1.50623,1.95959,1.74949,0.01454,1,0.06633,0.03824,1.28887,3.84487,2.38852,0.000251316,0.000251316,0.000251316
29,45.9717,0.67903,2.08333,1.39274,0.00996,1,0.04523,0.03293,1.48964,3.92844,2.46285,0.000249536,0.000249536,0.000249536
30,47.2157,1.07877,1.58533,1.47848,0.00996,1,0.04523,0.03293,1.48964,3.92844,2.46285,0.000246964,0.000246964,0.000246964
31,48.7063,1.23832,2.48418,2.05375,0.04317,1,0.33167,0.16583,1.79033,3.77908,2.4398,0.0002436,0.0002436,0.0002436
32,51.1307,1.55824,1.3113,1.7538,0.04317,1,0.33167,0.16583,1.79033,3.77908,2.4398,0.000239444,0.000239444,0.000239444
33,52.8605,0.68239,2.99505,1.02274,0.46482,1,0.4975,0.25106,1.88932,3.53389,2.64411,0.000234496,0.000234496,0.000234496
34,54.3364,0.66473,2.32902,1.06683,0.46482,1,0.4975,0.25106,1.88932,3.53389,2.64411,0.000228756,0.000228756,0.000228756
35,56.0619,0.72484,2.16958,1.18258,0.28712,1,0.4975,0.25385,1.84767,3.2748,2.65966,0.000222224,0.000222224,0.000222224
36,57.8461,1.5306,1.59139,1.86578,0.28712,1,0.4975,0.25385,1.84767,3.2748,2.65966,0.0002149,0.0002149,0.0002149
37,60.135,0,8.79734,0,0.00333,1,0.4975,0.20398,1.94384,4.19156,2.62977,0.000206784,0.000206784,0.000206784
38,61.8259,1.38658,1.6059,1.57052,0.00333,1,0.4975,0.20398,1.94384,4.19156,2.62977,0.000197876,0.000197876,0.000197876
39,63.2092,0.78946,1.61896,1.16815,0.00333,1,0.02369,0.01421,2.01692,3.82803,2.54915,0.000188176,0.000188176,0.000188176
40,64.5635,1.11718,1.65152,1.51769,0.00333,1,0.02369,0.01421,2.01692,3.82803,2.54915,0.000177684,0.000177684,0.000177684
41,65.9062,2.53422,2.78086,2.83621,0.00333,1,0.01106,0.005,2.28989,4.17974,2.94389,0.0001664,0.0001664,0.0001664
42,67.1761,1.81481,1.78299,2.55123,0.00333,1,0.01106,0.005,2.28989,4.17974,2.94389,0.000154324,0.000154324,0.000154324
43,68.4997,1.41977,1.7774,1.75632,0.00333,1,0.01605,0.00617,2.18774,3.8707,3.05853,0.000141456,0.000141456,0.000141456
44,69.8614,1.05449,1.48556,1.24132,0.00333,1,0.01605,0.00617,2.18774,3.8707,3.05853,0.000127796,0.000127796,0.000127796
45,71.0788,2.69978,2.6017,2.71358,0.00333,1,0.01579,0.00758,2.11752,3.62427,3.1018,0.000113344,0.000113344,0.000113344
46,72.5041,1.19729,1.63565,1.27554,0.00333,1,0.01579,0.00758,2.11752,3.62427,3.1018,9.81e-05,9.81e-05,9.81e-05
47,74.631,0.5026,1.67412,0.93282,0.00333,1,0.01401,0.00673,2.01523,3.72277,2.98673,8.2064e-05,8.2064e-05,8.2064e-05
48,76.4113,0.98609,1.72548,1.26349,0.00333,1,0.01401,0.00673,2.01523,3.72277,2.98673,6.5236e-05,6.5236e-05,6.5236e-05
49,77.7489,0.83803,1.158,1.01081,0.00333,1,0.01401,0.0068,1.99398,3.77739,2.83404,4.7616e-05,4.7616e-05,4.7616e-05
